[2025-09-14 15:20:51 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-14 15:20:51 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-14 15:20:51 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-14 15:20:51 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-14 15:20:53 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-14 15:20:53 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-14 15:25:01 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-14 15:25:01 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-14 15:25:01 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-14 15:25:01 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-14 15:25:03 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-14 15:25:03 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-14 16:12:08 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-14 16:12:08 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-14 16:12:08 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-14 16:12:08 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-14 16:12:09 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-14 16:12:09 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-14 16:23:44 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-14 16:23:44 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-14 16:23:44 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
